thread_id [7f6f3f31c740] [main.cpp | main: 170] [2021-08-25 12:28:56.576] Hello from main!
thread_id [7f6f3eb1a700] [main.cpp | foo1: 161] [2021-08-25 12:28:56.626]   Hello from foo1!
thread_id [7f6f3e319700] [main.cpp | foo1: 161] [2021-08-25 12:28:56.626]   Hello from foo1!
thread_id [7f6f3db18700] [main.cpp | foo1: 161] [2021-08-25 12:28:56.626]   Hello from foo1!
thread_id [7f6f3d317700] [main.cpp | foo1: 161] [2021-08-25 12:28:56.627]   Hello from foo1!
thread_id [7f6f3cb16700] [main.cpp | foo1: 161] [2021-08-25 12:28:56.627]   Hello from foo1!
thread_id [7f6f3db18700] [main.cpp | foo2: 155] [2021-08-25 12:28:56.677]     Hello from foo2!
thread_id [7f6f3eb1a700] [main.cpp | foo2: 155] [2021-08-25 12:28:56.677]     Hello from foo2!
thread_id [7f6f3e319700] [main.cpp | foo2: 155] [2021-08-25 12:28:56.677]     Hello from foo2!
thread_id [7f6f3d317700] [main.cpp | foo2: 155] [2021-08-25 12:28:56.727]     Hello from foo2!
thread_id [7f6f3cb16700] [main.cpp | foo2: 155] [2021-08-25 12:28:56.827]     Hello from foo2!
